DATE,TYPE,SOFTSWITCHNAME,GW,ROUTENAME,ROUTETYPE,DESC,DPC,CIRCUITINSTALLED,CIRCUITAVAILABLE,CICLOADSHARE,SEIZURE,ANSWER,ASR,PEAKERL,AVERAGEPEAKERL,PEAKTIME,BIDS,LOSTBIDS,CONGESTTION,DURALSEIZE
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,MOBITEL_ISDN,International , 129-MOBITEL_ISDN,1_119_2,31,31,0.000%,863,59,6.837%,0.374,0.012,18:00-19:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,MOBITEL_ISDN,International , 129-MOBITEL_ISDN,1_119_2,31,31,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,MOBITEL_ISDN,International , 129-MOBITEL_ISDN,1_119_2,31,31,0.000%,863,59,6.837%,0.374,0.012,18:00-19:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,AIRTEL_LANKA,International , 131-AIRTEL-LANKA,1_44_0,432,432,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,AIRTEL_LANKA,International , 131-AIRTEL-LANKA,1_44_0,432,432,2.083%,7966,2410,30.254%,21.129,0.049,19:00-20:00,7966,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,AIRTEL_LANKA,International , 131-AIRTEL-LANKA,1_44_0,432,432,2.083%,7966,2410,30.254%,21.129,0.049,19:00-20:00,7966,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,BARATHI_CHENNAI,International , 917-BARATHI-CHENNAI,4_10_6,185,184,2.310%,6936,1946,28.057%,10.521,0.057,20:00-21:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,BARATHI_CHENNAI,International , 917-BARATHI-CHENNAI,4_10_6,185,183,2.595%,7750,1199,15.471%,19.519,0.107,20:00-21:00,7750,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,BARATHI_CHENNAI,International , 917-BARATHI-CHENNAI,4_10_6,185,184,4.891%,14686,3145,21.415%,30.040,0.163,20:00-21:00,7750,0,0.000%,332
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,RELIANCE_ERK_DCME_3,International , 916-Reliance-ERK,4_14_3,92,91,0.000%,5,0,0.000%,0.008,0.000,16:00-17:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,RELIANCE_ERK_DCME_3,International , 916-Reliance-ERK,4_14_3,92,91,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,RELIANCE_ERK_DCME_3,International , 916-Reliance-ERK,4_14_3,92,91,0.000%,5,0,0.000%,0.008,0.000,16:00-17:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,AIRCEL_CHENNAI,Inaternational , 915-AIRCEL-CHENNAI,4_16_1,247,247,0.000%,18,1,5.556%,0.028,0.000,18:00-19:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,AIRCEL_CHENNAI,Inaternational , 915-AIRCEL-CHENNAI,4_16_1,247,247,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,AIRCEL_CHENNAI,Inaternational , 915-AIRCEL-CHENNAI,4_16_1,247,247,0.000%,18,1,5.556%,0.028,0.000,18:00-19:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,BARATHI_MUMBAI,International , 914-BARATHI-MUMBAI,4_10_5,62,60,0.940%,1368,313,22.880%,3.820,0.064,16:00-17:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,BARATHI_MUMBAI,International , 914-BARATHI-MUMBAI,4_10_5,62,60,57.394%,83559,13075,15.648%,57.777,0.963,21:00-22:00,91606,8047,8.784%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,BARATHI_MUMBAI,International , 914-BARATHI-MUMBAI,4_10_5,62,60,58.333%,84927,13388,15.764%,58.333,0.972,20:00-21:00,91606,8047,8.784%,715
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,DIALOG,International , 125-DIALOG-LANKA,0_92_1,299,299,5.976%,13932,3768,27.046%,43.709,0.146,20:00-21:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,DIALOG,International , 125-DIALOG-LANKA,0_92_1,299,299,25.462%,59362,21821,36.759%,154.215,0.516,19:00-20:00,59362,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,DIALOG,International , 125-DIALOG-LANKA,0_92_1,299,299,31.438%,73294,25589,34.913%,182.016,0.609,19:00-20:00,59362,0,0.000%,4
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,LANKABELL_PROMO,International , 134 Lankabell Special,4_27_4,93,93,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,LANKABELL_PROMO,International , 134 Lankabell Special,4_27_4,93,93,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,LANKABELL_PROMO,International , 134 Lankabell Special,4_27_4,93,93,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,MUMBAI_SONUS(TAJ),International, 912-MUMSN-(FROM -TAJ),4_18_1,863,862,0.067%,967,152,15.719%,1.019,0.001,16:00-17:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,MUMBAI_SONUS(TAJ),International, 912-MUMSN-(FROM -TAJ),4_18_1,863,862,6.545%,94320,26608,28.210%,125.804,0.146,19:00-20:00,94320,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,MUMBAI_SONUS(TAJ),International, 912-MUMSN-(FROM -TAJ),4_18_1,863,862,6.613%,95287,26760,28.084%,126.466,0.147,19:00-20:00,94320,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,HUTCH_PROMO,International , 146-HUTCH Special,0_130_0,93,93,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,HUTCH_PROMO,International , 146-HUTCH Special,0_130_0,93,93,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,HUTCH_PROMO,International , 146-HUTCH Special,0_130_0,93,93,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,MOBTEL_ZTE_OUTGOING,International , 130-MOBITEL-OUT,1_119_2,837,837,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,MOBTEL_ZTE_OUTGOING,International , 130-MOBITEL-OUT,1_119_2,837,837,10.753%,99620,26809,26.911%,188.576,0.225,20:00-21:00,99620,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,MOBTEL_ZTE_OUTGOING,International , 130-MOBITEL-OUT,1_119_2,837,837,10.753%,99620,26809,26.911%,188.576,0.225,20:00-21:00,99620,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,LANKABELL_ZTE,International , 124-LANKA_BELL,4_27_4,153,153,2.544%,2204,760,34.483%,4.059,0.027,19:00-20:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,LANKABELL_ZTE,International , 124-LANKA_BELL,4_27_4,153,153,5.952%,5156,2699,52.347%,32.555,0.213,19:00-20:00,5156,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,LANKABELL_ZTE,International , 124-LANKA_BELL,4_27_4,153,153,8.497%,7360,3459,46.997%,36.614,0.239,19:00-20:00,5156,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,AIRCEL_MUMBAI_DCME-1,International , 910-AIRCEL_MUMBAI_DCME_1,4_14_0,247,247,0.000%,64,0,0.000%,0.037,0.000,13:00-14:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,AIRCEL_MUMBAI_DCME-1,International , 910-AIRCEL_MUMBAI_DCME_1,4_14_0,247,247,0.000%,194,30,15.464%,0.437,0.002,09:00-10:00,194,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,AIRCEL_MUMBAI_DCME-1,International , 910-AIRCEL_MUMBAI_DCME_1,4_14_0,247,247,0.000%,258,30,11.628%,0.453,0.002,09:00-10:00,194,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,MUMBAI_SONUS_DCME_1,International , 911-MUMBAI_SONUS_DCME-1,4_18_1,246,246,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,MUMBAI_SONUS_DCME_1,International , 911-MUMBAI_SONUS_DCME-1,4_18_1,246,246,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,MUMBAI_SONUS_DCME_1,International , 911-MUMBAI_SONUS_DCME-1,4_18_1,246,246,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,MUMBAI_SONUS_GSXD,International , 909-MUMBAI_SONUS,4_18_1,306,306,0.000%,345,2,0.580%,0.112,0.000,09:00-10:00,0,0,0.000%,0
